[BOOK],Quantum statistical properties of radiation. Creator/Author|, Louisell|, wh. Publication Date|, 1973 Jan 01. OSTI Identifier|, OSTI ID: 4208943...,WH Louisell - 1973 - books.google.com,adjoint algebra angular momentum antinormal order arbitrary assume atom becomes boson c-number cavity Chapter chosen order classical coefficients coherent commutation relations completeness relation components consider constant corresponds cos2 damped defined  ...,3662,1,constant;consider;classical;creator;defined;number;relation;boson;statistical;angular;01;completeness;commutation;cavity;adjoint;osti;radiation;relations;id;jan;louisell;antinormal;momentum;algebra;becomes;corresponds;coherent;cos2;atom;date;wh;properties;coefficients;publication;c;4208943;assume;1973;damped;chosen;components;arbitrary;identifier;order
,The relationship between the quantum yield of photosynthetic electron transport and quenching of chlorophyll fluorescence,B Genty|, JM Briantais|, NR Baker - Biochimica et Biophysica Acta (BBA)- |, 1989 - Elsevier,Measurements of the quantum yields of chlorophyll fluorescence and CO2 assimilation for a number of plant species exposed to changing light intensity and atmospheric CO2 concentrations and during induction of photosynthesis are used to examine the  ...,5352,2,chlorophyll;exposed;number;intensity;quenching;species;transport;co2;measurements;induction;plant;used;relationship;assimilation;electron;changing;photosynthetic;atmospheric;fluorescence;light;examine;yield;yields;concentrations;photosynthesis
[BOOK],An introduction to quantum field theory,ME Peskin|, DV Schroeder - 1995 - cds.cern.ch,Abstract An Introduction to Quantum Field Theory is a textbook intended for the graduate physics course covering relativistic quantum mechanics|, quantum electrodynamics|, and Feynman diagrams. The authors make these subjects accessible through carefully worked  ...,5531,3,mechanics;accessible;feynman;theory;course;relativistic;make;covering;textbook;graduate;field;subjects;electrodynamics;carefully;worked;physics;diagrams;intended
,A single quantum cannot be cloned,WK Wootters|, WH Zurek - 1982 - nature.com,If a photon of definite polarization encounters an excited atom|, there is typically some nonvanishing probability that the atom will emit a second photon by stimulated emission. Such a photon is guaranteed to have the same polarization as the original photon. But is it  ...,3304,4,stimulated;nonvanishing;probability;photon;original;definite;typically;emit;polarization;second;cannot;emission;atom;cloned;encounters;excited;single;guaranteed
[BOOK],Modern quantum mechanics,JJ Sakurai|, J Napolitano - 2011 - cds.cern.ch,Abstract This best-selling classic provides a graduate-level|, non-historical|, modern introduction of quantum mechanical concepts. The author|, JJ Sakurai|, was a renowned theorist in particle theory. This revision by Jim Napolitano retains the original material and  ...,5047,5,mechanics;classic;material;modern;best;renowned;napolitano;jim;graduate;provides;sakurai;revision;non;selling;theory;retains;mechanical;theorist;jj;particle;level;historical;concepts;original
,Can quantum-mechanical description of physical reality be considered complete?,A Einstein|, B Podolsky|, N Rosen - Physical review|, 1935 - APS,Abstract In a complete theory there is an element corresponding to each element of reality. A sufficient condition for the reality of a physical quantity is the possibility of predicting it with certainty|, without disturbing the system. In quantum mechanics in the case of two physical  ...,13136,6,mechanics;case;physical;corresponding;complete;quantity;considered;sufficient;predicting;system;possibility;reality;description;without;two;mechanical;disturbing;element;certainty;condition;theory
,Silicon quantum wire array fabrication by electrochemical and chemical dissolution of wafers,LT Canham - Applied Physics Letters|, 1990 - scitation.aip.org,Indirect evidence is presented that freestanding Si quantum wires can be fabricated without the use of epitaxialdeposition or lithography. The novel approach uses electrochemical and chemical dissolution steps to define networks of isolated wires out of bulk wafers.  ...,8783,7,dissolution;fabricated;evidence;electrochemical;indirect;wafers;networks;use;wire;epitaxialdeposition;isolated;chemical;approach;define;wires;freestanding;bulk;uses;fabrication;novel;lithography;presented;array;silicon;si;without;steps
,Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels,CH Bennett|, G Brassard|, C Crpeau|, R Jozsa|, A Peres - Physical review  |, 1993 - APS,Abstract An unknown quantum state > can be disassembled into|, then later reconstructed from|, purely classical information and purely nonclassical Einstein-Podolsky-Rosen (EPR) correlations. To do so the sender|,''Alice|,''and the receiver|,''Bob|,''must  ...,10169,8,via;classical;correlations;disassembled;reconstructed;purely;dual;einstein;information;teleporting;unknown;rosen;state;nonclassical;must;channels;sender;podolsky;later;epr;alice;receiver;bob
,Multiple quantum filters for elucidating NMR coupling networks,U Piantini|, OW Sorensen|, RR Ernst - Journal of the American  |, 1982 - ACS Publications,The elucidation of molecular structure by NMR spectroscopy relies upon the establishment of connectivities between nuclear spins through scalar J couplings. a convenient technique for tracing out coupling networks is two-dimensional (2-D) correlation spectr0scopy. l The  ...,1526,21,elucidation;dimensional;scalar;filters;multiple;networks;nuclear;technique;two;connectivities;establishment;nmr;correlation;upon;structure;coupling;relies;molecular;d;tracing;j;l;elucidating;spectr0scopy;spectroscopy;convenient;couplings;spins
[BOOK],Quantum computation and quantum information,MA Nielsen|, IL Chuang - 2010 - books.google.com,One of the most cited books in physics of all time|, Quantum Computation and Quantum Information remains the best textbook in this exciting field of science. This 10th anniversary edition includes an introduction from the authors setting the work in context. This  ...,22717,22,information;10th;context;includes;edition;remains;science;cited;work;anniversary;textbook;one;field;books;computation;time;exciting;physics;setting;best
