[BOOK],Reflexive modernization: Politics|, tradition and aesthetics in the modern social order,U Beck - 1994 - books.google.com,The theme of reflexivity has come to be central to social analysis. In this book three prominent social thinkers discuss the implications of" reflexive modernization" for social and cultural theory today. Ulrich Beck's vision of the" risk society" has already become  ...,5513,1,theme;thinkers;reflexive;modern;society;already;politics;risk;three;reflexivity;tradition;modernization;today;ulrich;theory;beck;cultural;come;discuss;prominent;central;implications;analysis;social;become;order;vision
[BOOK],Pragmatist aesthetics: Living beauty|, rethinking art,R Shusterman - 1992 - Cambridge Univ Press,In this interesting and ambitious book|, Richard Shusterman makes a plea for a more radical and democratic notion of art and aesthetics than the ones currently dominating the philosophy of art. He builds on Dewey's work in aesthetics|, not as a model|, but as"  ...,880,2,rethinking;art;radical;shusterman;living;richard;interesting;pragmatist;currently;ambitious;beauty;philosophy;ones;plea;dewey;builds;work;dominating;model;democratic;makes;notion
,The aesthetics of music,R Scruton - 1999 - philpapers.org,Abstract What is music|, what is its value|, and what does it mean? In this stimulating volume|, Roger Scruton offers a comprehensive account of the nature and significance of music from the perspective of modern philosophy. The study begins with the metaphysics of sound.  ...,694,3,begins;sound;account;modern;nature;comprehensive;study;significance;philosophy;value;offers;roger;perspective;scruton;music;metaphysics;stimulating;mean
[BOOK],The politics of aesthetics,J Rancire - 2013 - books.google.com,The Politics of Aesthetics rethinks the relationship between art and politics|, reclaiming" aesthetics" from the narrow confines it is often reduced to. Jacques Rancire reveals its intrinsic link to politics by analysing what they both have in common: the delimitation of the  ...,1385,4,reveals;art;often;relationship;delimitation;intrinsic;confines;common;link;reclaiming;rancire;politics;narrow;rethinks;reduced;analysing;jacques
[BOOK],Aesthetics: Lectures on fine art,GWF Hegel - 1998 - books.google.com,In his Aesthetics Hegel gives full expression to his seminal theory of art. He surveys the history of art from ancient India|, Egypt|, and Greece through to the Romantic movement of his own time|, criticizes major works|, and probes their meaning and significance; his rich array  ...,1187,5,seminal;major;art;lectures;egypt;india;greece;array;fine;surveys;ancient;rich;significance;movement;gives;full;theory;criticizes;meaning;probes;romantic;hegel;time;works;expression;history
[BOOK],The aesthetics of organization,S Linstead|, HJ Hpfl - 2000 - books.google.com,Organizational aesthetics|, both as a body of theory and a method of inquiry|, is a rapidly expanding area of the organizational sciences. The Aesthetics of Organization accessibly draws key contributions delineating the emerging parameters of the field. It explains the  ...,197,6,body;field;emerging;draws;rapidly;theory;parameters;area;expanding;contributions;delineating;sciences;inquiry;key;organizational;organization;explains;accessibly;method
[BOOK],Lectures & conversations on aesthetics|, psychology|, and religious belief,L Wittgenstein - 1966 - books.google.com,In 1938 Wittgenstein delivered a short course of lectures on aesthetics to a small group of students at Cambridge. The present volume has been compiled from notes taken down at the time by three of the students: Rush Rhees|, Yorick Smythies|, and James Taylor. They  ...,1094,7,cambridge;course;smythies;taylor;religious;delivered;group;psychology;three;present;conversations;taken;lectures;belief;students;compiled;short;1938;rhees;rush;yorick;james;notes;wittgenstein;time;small
[BOOK],Aesthetics|, problems in the philosophy of criticism,MC Beardsley - 1981 - books.google.com,Page 1. MONROE C. BEARDSLEY AESTHETICS Problems in the Philosophy of Criticismsecond edition Page 2. Page 3. AESTHETICS: PROBLEMS IN THE PHILOSOPHY OFCRITICISM This on. UAFO-ASF-T1YC Page 4. Page 5. Page 6. ... ,993,8,criticism;c;beardsley;philosophy;problems;criticismsecond;t1yc;edition;asf;ofcriticism;page;monroe;uafo
,Curiosity and the Aesthetics of Travel-writing|, 1770-1840:'from an Antique Land',N Leask - 2004 - philpapers.org,Abstract The decades between 1770 and 1840 are rich in exotic accounts of the ruin-strewn landscapes of Ethiopia|, Egypt|, India|, and Mexico. Yet it is a field which has been neglected by scholars and which-unjustifiably-remains outside the literary canon. In this pioneering  ...,222,21,exotic;antique;mexico;egypt;india;accounts;yet;1770;unjustifiably;ethiopia;remains;ruin;writing;literary;field;outside;rich;decades;pioneering;canon;land;curiosity;scholars;strewn;1840;neglected;landscapes;travel
[BOOK],The author|, art|, and the market: Rereading the history of aesthetics,M Woodmansee - 1996 - books.google.com,Analyzing the rise of art in the 18th century|, this treatise demonstrates how painting|, sculpture and literature were not regarded as valuable art forms before the emergence of a new bourgeois culture. The author reveals how Romantic poets and philosophers  ...,382,22,reveals;art;century;valuable;culture;analyzing;market;demonstrates;regarded;forms;new;poets;literature;rereading;rise;philosophers;emergence;bourgeois;romantic;treatise;painting;18th;sculpture;history
